"編號",建議用字,音讀,又音,對應華語,用例,異用字
001,阿,a,,阿,阿母、阿爸,
002,阿妗,a-kīm,,舅媽,"阮阿舅佮阿妗咧做生理",
003,阿姆,a-ḿ,,伯母,"阮阿伯佮阿姆真疼我",
004,仔,á,,仔、子,"囡仔、心肝仔囝",
005,壓霸,ah-pà,,霸道,真壓霸,惡霸
006,曷,a̍h,,何須、哪,"曷使、曷著、曷敢",
007,抑是,a̍h-sī,"iah-sī/ah-sī/á-sī/ia̍h-sī",或是、或者,好抑是毋好,益是
008,愛,ài,,"喜歡、想要、愛",愛耍、愛睏,
009,偝,āinn,iāng,背(人),偝囡仔、偝巾,
010,沃,ak,,澆、淋,沃花、沃雨,渥
011,泔,ám,,稀的、米湯,"糜傷泔、泔糜仔、漿泔",
012,頷頸,ām-kún,,脖子、頸項,"頷頸筋、頷頸伸長長、頷頸生瘤──拄著",頷䫀
013,按呢,án-ne,,這樣、如此,"按呢做、按呢生",
014,按怎,án-tsuánn,"àn-tsuánn/án-nuá/án-ná",怎麼、怎樣,"按怎樣、按怎講、按怎寫",
015,絚,ân,,緊、不寬裕,"縛絚絚、手頭絚",拫
016,翁,ang,,丈夫,翁某、翁婿,
017,尪仔,ang-á,,玩偶、人像,"布袋戲尪仔、尪仔標",翁仔
018,遏,at,,折斷,遏斷、遏樹枝,
019,漚,au,,浸泡、醃,漚衫、漚鹹菜,
020,甌,au,,小杯子,茶甌、一甌茶,
021,拗,áu,,折、扭曲,拗斷、硬拗,
022,漚,àu,,"爛、不好、卑劣","柴漚去、漚貨、漚步",
023,後日,āu--jı̍t,āu--lı̍t、āu--gı̍t,後天,"後日過年、大後日",
024,後日,āu-jı̍t,āu-lı̍t、āu-gı̍t,"日後、以後、他日",後日還你,
025,後壁,āu-piah,,背面、後面,"囥後壁、後壁鄉",
026,峇,bā,,密合、契合,"門關無峇、阮兩人個性真峇",密
027,䆀,bái,,不好、醜,"心情䆀、環境䆀、真䆀",
028,目,ba̍k,,眼,目鏡、目眉,
029,茉莉,ba̍k-nī,bāng-lē,茉莉,"六月茉莉真清芳",
030,目屎,ba̍k-sái,,眼淚,傷心流目屎,
031,挽,bán,,"摘、採、採摘","挽花、挽茶、挽果子",
032,蠻皮,bân-phuê,"bân-phê、bân-phêr",頑強不化,你真蠻皮,慢皮
033,慢且,bān-tshiánn,,"等一下、稍待片刻","慢且是、慢且講、慢且咧",
034,蠓,báng,,蚊子,蠓仔、蠓罩,蚊
035,茫,bâng,bông,"神智不清、模糊不清","啉甲醉茫茫、白茫茫",濛
036,捌,bat,pat,認識、曾經,捌字、捌去,
037,密,ba̍t,,密,"草仔發甲真密、密密密",
038,袂,bē,buē,"不、不能、不會","袂食袂睏、袂行、袂來",𣍐
039,袂當,bē-tàng,buē-tàng,"不行、不能、不可以","袂當去、袂當繼續",袂凍
040,欲,beh,bueh、berh,"要、如果、快要","欲食飯、欲知、強欲",要、卜
041,眯,bî,,小睡、瞄,"小眯一下、予我眯著",瞇
042,微,bî,,"微、細小、輕微","風微微仔吹、微微仔笑",
043,沬,bī,,潛水,沬水,
044,覕,bih,,躲藏,覕雨、覕相揣,匿、宓
045,抿,bín,,刷、刷子,"齒抿仔、鞋抿仔",刡
046,敏豆(仔),bín-tāu(-á),,四季豆,敏豆仔炒肉絲,
047,明仔載,bîn-á-tsài,"miâ-á-tsài、bîn-nà-tsài",明天、明日,明仔載會好天,"明仔再、明旦載"
048,眠夢,bîn-bāng,,做夢,閣咧眠夢,
049,面,bīn,,臉、面,面色、面熟,
050,無,bô,,無、沒有,無錢、無閒,
051,無較縒,bô-khah-tsua̍h,,"情況不會變得更好、於事無補","閣較講嘛無較縒",
052,無彩,bô-tshái,,可惜、白費,"無彩錢、無彩工",無采
053,罔,bóng,,姑且、將就,罔看、罔食,
054,雺,bông,,大霧,"罩雺、起雺、雺霧",濛、茫
055,某,bóo,,"妻子、太太、老婆",翁仔某、某囝,姥
056,舞,bú,,舞、胡搞,跳舞、烏白舞,
057,母,bú,bó,母,阿母、老母,
058,尾,bué,bé、bér,"尾巴、後面、尾","尾溜、尾後、一尾魚",
059,"尾蝶(仔)/(尾)蝶仔","bué-ia̍h(-á)/(bué-)ia̍h-á","bér-ia̍h(-á)/bé-ia̍h(-á)",蝴蝶,"掠尾蝶仔、花園有真濟尾蝶仔","尾蛾(仔)、(美)蝶仔"
060,魩仔魚,but-á-hî,"but-á-hîr/but-á-hû","(鯷魚類和沙丁魚類的)魚苗",魩仔魚糜,
061,的,ê,,的,我的、公家的,个
062,个,ê,,個,一个、足濟个,
063,下,ē,e,"下(表時間或做詞頭)","下晡、下晝、下昏、下暗",
064,下,ē,,下面、一下,下跤、一下,
065,會,ē,uē、erē,可以、會,會使、會曉,
066,下頦,ē-hâi,ē-huâi,下巴,"下頦尖尖、落下頦",
067,會當,ē-tàng,,可以、能夠,會當去,會凍
068,狹,eh̍,,窄,"巷仔真狹、狹裙",
069,礙虐,gāi-gio̍h,ngāi-gio̍h,"彆扭、不舒服","愈想愈礙虐、聽著真礙虐",
070,愣,gāng,,失神、發呆,愣去、愣愣,
071,𠢕,gâu,,"很會、能幹、擅長、常常","𠢕早、假𠢕、𠢕煮食、𠢕破病",賢、爻
072,夯,giâ,,扛、發作,"夯貨、舊症頭夯起來",
073,攑,gia̍h,kia̍h,"拿、舉起、豎起","攑箸、攑頭、攑手",揭、舉
074,鋏,giap,,夾,"頭毛鋏仔、頭毛鋏予伊好",
075,挾,gia̍p,,夾住,挾咧,
076,扲,gīm,,緊握,扲牢牢,
077,囡仔,gín-á,,孩子,"查某囡仔、囡仔兄",囝仔
078,凝,gîng,,鬱結,"心肝足凝、凝心",
079,戇,gōng,,傻,戇人、戇呆,
080,我,guá,,我,是我,
081,外,guā,,外、娘家的,外口、外家,
082,外,guā,,多、餘,"十外歲、百外个",
083,阮,guán,gún,我們、我的,阮的、阮兜,
084,外,guē,,外,外甥、員外,
085,月娘,gueh̍-niû,"geh̍-niû/ger̍h-niû",月亮,"月娘笑阮戇大呆、日頭佮月娘",
086,縖,hâ,,繫、圍,縖褲帶、縖裙,
087,箬,ha̍h,,外殼、外皮,竹箬、甘蔗箬,笚
088,合,ha̍h,,契合、適合,"個性會合、合軀",
089,海海,hái-hái,,"看開些、不計較、不過如此",人生海海,
090,海湧,hái-íng,,海浪,海湧真大,
091,蚶仔,ham-á,,文蛤,蚶仔湯足清甜,
092,譀,hàm,,"荒誕不實、放大",譀古、譀鏡,泛、幻
093,陷眠,hām-bîn,,夢囈,伊咧陷眠,
094,吼,háu,,哭、叫,"愛吼、鳥仔咧吼",哮
095,後生,hāu-senn,hāu-sinn,兒子,"阮後生、生後生",
096,彼,he,,那,彼是我的,
097,下,hē,,放,下鹽、下本錢,
098,遐,hia,hiâ,那、那裡,佇遐,
099,遐的,hia--ê,hua--ê,那些,遐的攏是我的,遐个
