1,阿,a,,阿,阿母、阿爸,,[sound:minnan700-1-阿.mp3],[sound:minnan700-1-阿母.mp3],[sound:minnan700-1-阿爸.mp3],,,,閩南語
2,阿妗,a-kīm,,舅媽,阮阿舅佮阿妗咧做生理,,[sound:minnan700-2-阿妗.mp3],[sound:minnan700-2-阮阿舅佮阿妗咧做生理.mp3],,,,,閩南語
3,阿姆,a-ḿ,,伯母,阮阿伯佮阿姆真疼我,,[sound:minnan700-3-阿姆.mp3],[sound:minnan700-3-阮阿伯佮阿姆真疼我.mp3],,,,,閩南語
4,仔,á,,仔、子,囡仔、心肝仔囝,,[sound:minnan700-4-仔.mp3],[sound:minnan700-4-囡仔.mp3],[sound:minnan700-4-心肝仔囝.mp3],,,,閩南語
5,壓霸,ah-pà,,霸道,真壓霸,惡霸,[sound:minnan700-5-壓霸.mp3],[sound:minnan700-5-真壓霸.mp3],,,,,閩南語
6,曷,a̍h,,何須、哪,曷使、曷著、曷敢,,[sound:minnan700-6-曷.mp3],[sound:minnan700-6-曷使.mp3],[sound:minnan700-6-曷著.mp3],[sound:minnan700-6-曷敢.mp3],,,閩南語
7,抑是,a̍h-sī,iah-sī/ah-sī/á-sī/ia̍h-sī,或是、或者,好抑是毋好,益是,[sound:minnan700-7-抑是.mp3],[sound:minnan700-7-好抑是毋好.mp3],,,,,閩南語
8,愛,ài,,喜歡、想要、愛,愛耍、愛睏,,[sound:minnan700-8-愛.mp3],[sound:minnan700-8-愛耍.mp3],[sound:minnan700-8-愛睏.mp3],,,,閩南語
9,偝,āinn,iāng,背(人),偝囡仔、偝巾,,[sound:minnan700-9-偝.mp3],[sound:minnan700-9-偝囡仔.mp3],[sound:minnan700-9-偝巾.mp3],,,,閩南語
10,沃,ak,,澆、淋,沃花、沃雨,渥,[sound:minnan700-10-沃.mp3],[sound:minnan700-10-沃花.mp3],[sound:minnan700-10-沃雨.mp3],,,,閩南語
11,泔,ám,,稀的、米湯,糜傷泔、泔糜仔、漿泔,,[sound:minnan700-11-泔.mp3],[sound:minnan700-11-糜傷泔.mp3],[sound:minnan700-11-泔糜仔.mp3],[sound:minnan700-11-漿泔.mp3],,,閩南語
12,頷頸,ām-kún,,脖子、頸項,頷頸筋、頷頸伸長長、頷頸生瘤──拄著,頷䫀,[sound:minnan700-12-頷頸.mp3],[sound:minnan700-12-頷頸筋.mp3],[sound:minnan700-12-頷頸伸長長.mp3],[sound:minnan700-12-頷頸生瘤──拄著.mp3],,,閩南語
13,按呢,án-ne,,這樣、如此,按呢做、按呢生,,[sound:minnan700-13-按呢.mp3],[sound:minnan700-13-按呢做.mp3],[sound:minnan700-13-按呢生.mp3],,,,閩南語
14,按怎,án-tsuánn,àn-tsuánn/án-nuá/án-ná,怎麼、怎樣,按怎樣、按怎講、按怎寫,,[sound:minnan700-14-按怎.mp3],[sound:minnan700-14-按怎樣.mp3],[sound:minnan700-14-按怎講.mp3],[sound:minnan700-14-按怎寫.mp3],,,閩南語
15,絚,ân,,緊、不寬裕,縛絚絚、手頭絚,拫,[sound:minnan700-15-絚.mp3],[sound:minnan700-15-縛絚絚.mp3],[sound:minnan700-15-手頭絚.mp3],,,,閩南語
16,翁,ang,,丈夫,翁某、翁婿,,[sound:minnan700-16-翁.mp3],[sound:minnan700-16-翁某.mp3],[sound:minnan700-16-翁婿.mp3],,,,閩南語
17,尪仔,ang-á,,玩偶、人像,布袋戲尪仔、尪仔標,翁仔,[sound:minnan700-17-尪仔.mp3],[sound:minnan700-17-布袋戲尪仔.mp3],[sound:minnan700-17-尪仔標.mp3],,,,閩南語
18,遏,at,,折斷,遏斷、遏樹枝,,[sound:minnan700-18-遏.mp3],[sound:minnan700-18-遏斷.mp3],[sound:minnan700-18-遏樹枝.mp3],,,,閩南語
19,漚,au,,浸泡、醃,漚衫、漚鹹菜,,[sound:minnan700-19-漚.mp3],[sound:minnan700-19-漚衫.mp3],[sound:minnan700-19-漚鹹菜.mp3],,,,閩南語
20,甌,au,,小杯子,茶甌、一甌茶,,[sound:minnan700-20-甌.mp3],[sound:minnan700-20-茶甌.mp3],[sound:minnan700-20-一甌茶.mp3],,,,閩南語
21,拗,áu,,折、扭曲,拗斷、硬拗,,[sound:minnan700-21-拗.mp3],[sound:minnan700-21-拗斷.mp3],[sound:minnan700-21-硬拗.mp3],,,,閩南語
22,漚,àu,,爛、不好、卑劣,柴漚去、漚貨、漚步,,[sound:minnan700-22-漚.mp3],[sound:minnan700-22-柴漚去.mp3],[sound:minnan700-22-漚貨.mp3],[sound:minnan700-22-漚步.mp3],,,閩南語
23,後日,āu--jı̍t,āu--lı̍t、āu--gı̍t,後天,後日過年、大後日,,[sound:minnan700-23-後日.mp3],[sound:minnan700-23-後日過年.mp3],[sound:minnan700-23-大後日.mp3],,,,閩南語
24,後日,āu-jı̍t,āu-lı̍t、āu-gı̍t,日後、以後、他日,後日還你,,[sound:minnan700-24-後日.mp3],[sound:minnan700-24-後日還你.mp3],,,,,閩南語
25,後壁,āu-piah,,背面、後面,囥後壁、後壁鄉,,[sound:minnan700-25-後壁.mp3],[sound:minnan700-25-囥後壁.mp3],[sound:minnan700-25-後壁鄉.mp3],,,,閩南語
26,峇,bā,,密合、契合,門關無峇、阮兩人個性真峇,密,[sound:minnan700-26-峇.mp3],[sound:minnan700-26-門關無峇.mp3],[sound:minnan700-26-阮兩人個性真峇.mp3],,,,閩南語
27,䆀,bái,,不好、醜,心情䆀、環境䆀、真䆀,,[sound:minnan700-27-䆀.mp3],[sound:minnan700-27-心情䆀.mp3],[sound:minnan700-27-環境䆀.mp3],[sound:minnan700-27-真䆀.mp3],,,閩南語
28,目,ba̍k,,眼,目鏡、目眉,,[sound:minnan700-28-目.mp3],[sound:minnan700-28-目鏡.mp3],[sound:minnan700-28-目眉.mp3],,,,閩南語
29,茉莉,ba̍k-nī,bāng-lē,茉莉,六月茉莉真清芳,,[sound:minnan700-29-茉莉.mp3],[sound:minnan700-29-六月茉莉真清芳.mp3],,,,,閩南語
30,目屎,ba̍k-sái,,眼淚,傷心流目屎,,[sound:minnan700-30-目屎.mp3],[sound:minnan700-30-傷心流目屎.mp3],,,,,閩南語
